,name,link,min_salary,max_salary,currency,employer,site_name
83,Аналитик по монетизации (Юла),https://hh.ru/vacancy/48585554?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,VK,hh.ru
84,Data-analyst,https://hh.ru/vacancy/50703452?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Билайн,hh.ru
85,Junior Data Analytics Engineer,https://hh.ru/vacancy/50362854?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,300,800,USD,ООО Скандивеб Бел,hh.ru
86,Data Engineer,https://hh.ru/vacancy/51632073?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Инфосистемы Джет,hh.ru
87,"Data Engineer, Собственные продажи",https://hh.ru/vacancy/51625253?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Ozon Информационные технологии,hh.ru
88,Аналитик BI (middle),https://hh.ru/vacancy/51855506?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,ООО Диплей,hh.ru
89,Senior ML Engineer / MLOps,https://hh.ru/vacancy/50685720?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,5500,,USD,Tango Me,hh.ru
90,Аналитик BI / Разработчик данных,https://hh.ru/vacancy/50603481?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,ПАО Ростелеком,hh.ru
91,Бизнес-аналитик SQL,https://hh.ru/vacancy/50707220?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Билайн,hh.ru
92,Аналитик BI (middle),https://hh.ru/vacancy/51855504?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,ООО Диплей,hh.ru
93,Head of Data science / Math Lead,https://hh.ru/vacancy/51856519?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,АДВ,hh.ru
94,Clients data analyst,https://hh.ru/vacancy/48790378?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,ИВ РОШЕ,hh.ru
95,C# Developer,https://hh.ru/vacancy/51672065?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,3300,3500,USD,Smart Apartment Data,hh.ru
96,Аналітик CVM,https://hh.ru/vacancy/51104605?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Vodafone Украина,hh.ru
97,Аналитик Python (senior),https://hh.ru/vacancy/48877391?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,ООО Диплей,hh.ru
98,Senior investment analyst,https://hh.ru/vacancy/51787134?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,ТОО Казфосфат,hh.ru
99,Аналитик Python (senior),https://hh.ru/vacancy/46711081?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,ООО Диплей,hh.ru
100,Front-end Software Engineer  (в проект Big data & data visualization),https://hh.ru/vacancy/51805960?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,ООО СВАПС системз,hh.ru
101,Аналитик Python (senior),https://hh.ru/vacancy/48877391?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,ООО Диплей,hh.ru
102,Системный аналитик BigData,https://hh.ru/vacancy/47080283?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Неофлекс,hh.ru
103,Senior Data Scientist,https://hh.ru/vacancy/50406594?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Teradata,hh.ru
104,Back-end Software Engineer (в проект Big data & data visualization),https://hh.ru/vacancy/51805964?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,ООО СВАПС системз,hh.ru
105,Data Scientist (Customer Marketing field),https://hh.ru/vacancy/49753398?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,ООО IDT Technologies,hh.ru
106,Аналитик,https://hh.ru/vacancy/51653203?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,100000,100000,руб.,Крупная IT компания с большой федеральной сетью,hh.ru
107,Продуктовый аналитик Aliexpress,https://hh.ru/vacancy/50457335?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,XWAY,hh.ru
108,Аналитик (отдел анализа данных),https://hh.ru/vacancy/51489245?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Mediascope,hh.ru
